date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2025-08-18,16,1×L2 + 1×DC50 + 2×DC150 + 10×DC350,1,1,2,10,1344.51,1396.86,15928.31,0.0,18669.68,3311.5,562.0,66,63,3,66,0,100.0,7533.0,8957.8,118.9,0.2,0.0388,optimal,False
2026-03-05,17,1×L2 + 1×DC50 + 5×DC150 + 8×DC350,1,1,5,8,1297.94,1642.45,15728.7,0.0,18669.09,3270.0,850.0,77,68,9,77,0,100.0,8940.2,10773.2,120.5,0.9,0.0007,optimal,False
2025-06-03,18,1×L2 + 2×DC50 + 4×DC150 + 9×DC350,1,2,4,9,1384.92,1750.47,15508.4,0.0,18643.79,3224.2,1550.0,82,72,10,82,0,100.0,9375.5,11115.0,118.6,1.9,0.0088,optimal,False
2025-09-03,19,3×L2 + 1×DC50 + 3×DC150 + 8×DC350,3,1,3,8,1188.64,1923.06,15247.7,0.0,18359.39,3170.0,1050.0,82,74,8,82,0,100.0,10244.1,12348.6,120.5,0.3,0.0457,optimal,False
2025-09-26,20,1×L2 + 1×DC50 + 4×DC150 + 8×DC350,1,1,4,8,1234.93,1387.21,15608.45,0.0,18230.59,3245.0,400.0,66,56,10,66,0,100.0,8001.1,9306.0,116.3,0.5,0.0028,optimal,False
2025-07-09,21,2×L2 + 1×DC50 + 3×DC150 + 8×DC350,2,1,3,8,1180.28,1694.65,15175.55,0.0,18050.48,3155.0,500.0,78,75,3,78,0,100.0,9452.7,11816.2,125.0,10.2,0.0012,optimal,False
2025-05-29,22,4×L2 + 2×DC50 + 2×DC150 + 10×DC350,4,2,2,10,1401.76,1710.75,14524.76,0.0,17637.27,3019.7,860.0,76,69,7,76,0,100.0,9132.8,10745.1,117.7,5.3,0.0469,optimal,False
2025-08-25,23,3×L2 + 1×DC50 + 3×DC150 + 8×DC350,3,1,3,8,1188.64,1470.13,14959.1,0.0,17617.87,3110.0,350.0,77,76,1,77,0,100.0,8137.1,10023.4,123.2,3.7,0.003,optimal,False
2026-01-22,24,3×L2 + 2×DC50 + 1×DC150 + 9×DC350,3,2,1,9,1212.61,2022.6,14381.9,0.0,17617.11,2990.0,850.0,80,70,10,80,0,100.0,10580.2,12580.4,118.9,0.5,0.0063,optimal,False
2026-04-21,25,1×DC50 + 3×DC150 + 8×DC350,0,1,3,8,1163.57,1634.53,14814.8,0.0,17612.9,3080.0,550.0,76,71,5,76,0,100.0,8701.7,10662.8,122.5,2.9,0.0148,optimal,False
